sentence,predicted,truth
"I guess I feel I have to comment against this angry liberal  PFD mob. This is boringly predicable. Gov walker ""stole"" your free money.... The oil companies pillages ""your"" resources ( damn tax credits) Then the ancillary comments about its an ""ownership"" state and that PFD is deserved. Give me a break. Not one person is proposing a fix. The truth is you can take away all the oil credits...add a sales tax and still not get close to closing the gap. Reality and logic are sorry you don't get the whole check you ""deserve"". I personally would rather have schools, police and less income tax. (Que comments about budget reserve and walker). We do need to make some changes, new revenue, maybe taxes, curtailed oil credits, but when you do the math it also takes the PFD. If your personal budget is built on it, you need to make life changes, or forgo you bigscreen or payment to your bar tab. I guess this is therapy for some, bitch but offer no actual, impactful solutions ... Just indignant hate",0,1
"Damn it. I would be willing to give it a go. Wanna be killers can put their name in a hat and we can draw to see who gets to pull the lever. Two birds, one stone. Criminal dies, wanna be hanger gets his wish - legally.",0,1
"We do not trust anything that comes out of the Hussein Obama regime.
He, & his goons have been proven to be nothing more than pathological liars.",0,1
The same Bruce who has cheated on 2 of his wives? Maybe he was trying to emulate Bill Clinton. Perhaps he was speaking of himself when he said the word moron.,0,1
"Perhaps they were taught at home that protesting for the rights of all peoples is in fact reason enough.  ""....they have absolutely no reason to protest.""  That is just plain scary and ignorant.",0,1
"Key phase "" a lunatic like Trump."" The fact that the American public has allowed Trump to go this far says everything about his supporters and nothing about Clinton. If a majority of the public falls for his anti-intellectualism,  his pathological lying, his racism, his misogyny, his ignorance, his bluster, his arrogance, his narcissism and idiocy--to name a few--it's on them.   I used to think we should get rid of the electoral collgege, now I see that we cannot:  A dumbed down America forbids it.",0,1
"Liberals are behind the sad specter of Bio D iversity and Natural Diversity which scratch the back of anti-harvest participants who want to stop hunting of predators, just for one example.  They would love to see the land locked up to anyone except those who want to simply view or hike into the state and federal lands.  Many libs are  on state and fed fish and wildlife payrolls and carry out the mandates of anti-hunting zealots and animals rights dictatorial activist.  Get involved to stop this misguided, Disney mentality madness!",0,1
she is not going to recover. she is on life support at providence because these two worthless turd punks shot her in the face. i say shoot them in town square and let the birds have them,0,1
"Stick your head where the sun doesn't shine you Artsy Fartsy.  Better yet, instead of putting the cork back into your booze  bottle, stuff your head in it and don't pull it out until I say you can.  Never mind.  You sound pickled already.",0,1
"As  we have been clearly shown, any mulsim male or female can become a murdering terrorist at any time. All are suspect, when not even the FBI looking at terrorist are able to identify them. Islam was banned from the US before, it needs to be done again. There is no peace with islam. 1400 years of war prove that to anyone but a fool.",0,1
and franchise his ridiculous name,0,1
"haha, for real.  He must be talking about those crazy left-wing politicians.",0,1
Hot damn!  Never have I seen so many supporters of socialist programs!  No wonder Bernie Sanders did so well in this state!  Even the conservatives would have rolled out the red carpet for him considering their responses here.,0,1
Actually it's harder to get a hunting knife out of a store than a damn ar15 rifle at this point.,0,1
"So killing them is the answer ? And you have no ""proof"" they are not ""babies"", you are entitled to your biased opinions just as Mr. Krupka is.",0,1
"We don't need gun control, We need MUSLIM CONTROL. This story gets repeated daily. Muslims immigrate to the United States and bring their RADICAL IDEOLOGY with them. Their children grow up thinking Americans are all heathans. Eventually Youth and Ideology form the perfect union to begin killing innocents in the name of Allah. Now boys think they are Martyrs and they are going to be rewarded with 72 Virgins......blah......blah.....blah...........I am with TRUMP. Ban ISLAM IMMIGRATION!",0,1
"Christopher, history reminds us that you can't talk about equity or equality without talking about decades of free labor, which built the financial infrastructure. White Adventists, who are complicit in the structural and institutional racism, and who benefit from it, like most White Americans need to step up and challenge the evils that persist in the country and in the Adventist Church. Thanks for your perspective.",0,1
"""Hopefully this museum makes us talk to each other,"" he said. ""And more importantly listen to each other. And most importantly see each other.""

What will it do to prevent blacks killing blacks?",0,1
"He Tweeted that he was going to vote for Hillary. That is motive enough. It proves he's nuts - and ignorant. If he had Tweeted he was voting for Trump the media (and ADN) would be jumping all over the story that Trump inspired this ""hate.""",0,1
"I think Spen is disappointed they didn't kill the guy, frankly I am too. 
Another loser thug. Bet the passengers had illegal goods on them as well. I'm sorry the dog died in the line of duty. So much love and training goes into trainin these dogs and they are like family to the officer. I'm sorry for the officer's loss of his beloved dog.",0,1
"If they are shot at then YES they need to kill them, not wound them!",0,1
"This thug is quite the loser. Quite the record in Alaska - beating up his girlfriend, robbing ATM's in Palmer, calling his brother report the getaway truck as stolen after borrowing it from his brother to cover up the crime .... Wish they killed this loser!! Obviously his criminal past and only being 23 speaks volumes .... Wish the dog covered his ass in bites! But wait ... Even a police dog was raised better and didn't viciously attack this douche!!  We have got to change our legal system. People like this thug are cancer in our society. I'm not interested in spending hundreds of thousands of dollars trying to give this ass more chances to be a better man or try to rehabilitate him. HANG HIM. SHOOT HIM. SHANK HIM. I don't care, just be done with this guy.",0,1
"What do you mean they only have 15 years on the sex offender list?? 
You have got to be kidding me!! These guys need to be castrated, branded and put in general pop!!",0,1
Obviously you are just not smart enough to get his point of his letter.,0,1
"Does Coghill do anything for a living other than spread his religious nonsense? Is he yet another right-winger who had a business given to him by his daddy?

Between this clown and our gal Tammie we sure have some lousy representation in Juneau for my neighborhood.",0,1
"Excuses, excuses, excuses to the point of  ridiculousness.  They're ""trained to watch body language"" from a 100 feet up.  These are same officers who are so scared sh*#%*^## that they routinely kill anything that moves right out of the shute, because they're hysterically ""in fear for their lives."" What about 12 year old Rice and all the others?",0,1
"There's a difference between saying the choice is a mistake and inferring a user is stupid. Nothing personal ""friend"".",0,1
"""e·lit·ist a person who believes that a system or society should be ruled or dominated by an elite.
synonyms: aristocrat, blue blood; snob""
Political choice is always between intellectuals or the blue blood, snobbish economic aristocrats you champion Senor R.  Sane societies choose the former over submission to serfdom as Americans did with the Revolution.
The nation is supposed to be governed by people holding informed opinions.
http://www.merriam-webster.com/dictionary/informed%20opinion
I guess you're referring to number 2 and stating that detesting hatred directed against people who're born different from you and chastising bigots voting on uninformed opinions makes me a bigot?  You could tout that racists and bigots were born and must be tolerated but you'd be wrong again, that crap has to be taught and can be un-taught.  Some scientific research does point to Conservatives having a genetic screw loose and conservatism is proven by all history as evil so, damn I'm a proud bigot.",0,1
find these phatazz foreigners and kick them back to the islands. fast,0,1
Trumpkins...that's good. I like Trumpsters as well. Big fat liar works as well.,0,1
"The GOP is merely responding to the 'reality' TV crowd.  We have spun this fantasy to the point that we'll sacrifice our country.  Whether Trump wins or loses, we are so screwed.",0,1
"Hillary,  the lying phony bitch, says she wants free college for all!  How about closing down their foundation on November 8th and taking all of the cash they have collected since they are giving to get favors from the never to be President and using the funds to pay for college to those in their 2nd year and beyond if they maintain a ""B"" average.  This would actually make their lovely daughter try and get another job that would pay her $900,000 a year!",0,1
"Absolute idiocy. 

""Fact check"" journalism is opinion writing whose goal isn't to find truth, but promote the media's importance. 

""TRUMP: President Barack Obama “has doubled (the national debt) in almost eight years. ...""

""THE FACTS: Trump’s expressed concern about the national debt obscures that his own policies would increase it..."" Some ""facts.""",0,1
"What kills me about you smooth IDIOTS is that YOU THINK you are ""so far above"" bedbugs. 
The Captain Cook Hotel has had to fight them as well. You could get them off of a couch at your doctor's office, the seats at the mall, on an airplane. So who the F are you going to BLAME THEN? The dirty and homeless people ? Those who can't afford your doctor, a room at the Cook, or a trip to the mall to shop?
To those who are IGNORANT:
Bedbugs are an equal opportunity seeker. Your money, attitude and shameful comments won't keep them away. Get a clue, folks!",0,1
Note to male half of this: stop dating crazy woman. Of course this will effectively end your social life.,0,1
"He's such a clown. Was I the only one that thought he was going to stroke out or have a heart attack when he was describing her staffers pleading the 5th? Watch the tape, he's breathing heavy and hits voice is shaky.",0,1
"I'm from Europe and have never seen anything like the ""tailgating"" that goes on here in AK.  Folk drive 70-80 mph with barely a cars length between them and the vehicle in front.  This isn't even the minority, it's the MAJORITY.  Ashamed to say that my own husband is as guilty as the next, to the point that I hate riding in the car with him at the wheel.  His excuse?  ""If you don't, people cut in front of you"". Is that the reason you all do it? Really???  So what if they do?  Who cares!!  Such stupidity and recklessness for naught.  SMDH.  Oh and while I'm logged in........when the roads are wet, adjust and DRIVE SLOWER!  It really is necessary.  Long and short of it is, it should be more difficult to obtain a license here and kids should have a mandatory 10 lessons with a qualified instructor instead of picking up mom/dad's bad habits.",0,1
"Bill Clinton was not impeached, he was acquitted.  And look at those hypocrites who led the push for impeachment hearings - the three house speakers Gingrich,  Livingston and Hastert.  Gingrich has admitted he was having an affair with an aide while he was pushing for impeachment, Livingston resigned when he admitted he was having an extramarital affair, and Hastert, worst of all IMHO, was a child molester, and that only came out because he was being blackmailed.",0,1
The only place tRump is happy is when he's in his Vietnam bedroom trying to pound unsuspecting women.,0,1
They need to vote you out!!!! Your a disgrace.,0,1
"Like Mr Whitekeys sez ""You can always find an Alaskan dumber""",0,1
"She isn't charged so shit isn't working obviously, I know she isn't because she is my mom and I ate lunch with her today!",0,1
"Harry M. Badger's mistake was to rape a white girl. If she had been a native it would have been swept under the rug and there would have been no trial, etc.

Racist America. Aren't we grand?",0,1
"sure I do, I would be first in line to kill a slave trader. all ya have to do is point'em out.",0,1
"It is devastating how many secrets are going untold in this article. John Javelet is being charged with 4 counts of rape, because this girl had a false I.D that stated her age as 19 which means he had NO IDEA this girl wasn't over the age of 18. Yeah, he had a criminal record that wasnt very good but HE'S NOT A RAPIST AT ALL!!! Actually he is one of the best people i have ever met, he was the only one who protected me from my extremly abusive boyfriend. 
     Joshua Wesley Sherman is my BEST FRIEND. Yeah, his record is bad also but the Lane County Legal system is cruel and unusual. Most everything they claim he did wasnt true. They just pinned him guilty by making it his only option.
  They tell you the details they want to but they arent telling you EVERY DETAIL. Joshua wasnt present when the crime was commited he has an alibi but they silenced her. If the TRUTH came out maybe it wouldnt go unnoticed when the police do faulty ass shit.",0,1
"BWahahahaha!!!  OMFG what a dork, Patrick Flynn",0,1
Some of you are just crazy. No wobder this state is going down the tubes.,0,1
"A brave and noble follower looking for some ink.   The NFL, and it's lack of action, has lost my viewership until it has a new commissioner.  And you Patrick have revealed yourself to be ignorant and self serving.  I make a point to be courteous.  Here I'll make an exception and quote somebody you'll thoroughly understand; Bugs Bunny:
""Ahh, what a maroon!""",0,1
"More inane drivel from lefty fascists, who can only denigrate Donald Trump and his supports. ""His supporters believe this dishonest man . . . will torture for them."" Huh? Yet the RG editors allow this sort of rot. Hillary Clinton is your compulsive liar, who has broken numerous federal statutes. Removing classified material is a felony, and that's for starters. Mrs. Clinton has said ""She doesn't remember,"" and gets to skate because of a corrupt federal government. Hillary Clinton also lied to the families of those who were killed in Benghazi, including a US Ambassador. Clinton and the administration knew it was an organized Al-Qaeda attack (on September 11, 2012! Imagine that!) but claimed to America and the families some obscure YouTube video triggered angry Muslims. The Middle East is aflame today because of Hillary Clinton and Barack Obama, threatening the security of the US and our allies.  Yet all crybaby leftists can do is blubber what a big meanie Donald Trump is.",0,1
"This is from a second semester course at Trump University: Trump Maxim XV:  Never accept blame for your failures.  Always be prepared to blame others for your shortcomings.  As a corollary, never apologize for any statement or action.  Remember: It is never your fault.

However, as a critique, if Trump had actually prevailed during the debate, he would be boasting to no end, so the need to invoke the above Maxim, indicates that he knows he made an ass and a fool of himself.",0,1
"Each of us has our own reason(s) for our choice in voting and there are likely as many combinations of reasons as there are voters.  I'm responsible for MY vote, YOU for yours, etc...that's the way democracy works.  Do we attempt to influence others? Of course we do....How many times have you posted asking voters to support Gary Johnson.....that's fine, it's the way things work.  

You post: ""I'm reading more and more from people around the country posting and saying: Hillary has two kinds of supporters and voters. Ignorant and Stupid""  Attributing these words to some anonymous third party or parties doesn't absolve you of making the comment and presenting the view.  So it's a bit ironic for you to accuse democrats of claiming others are ""stupid.""

I disagree w/you regarding voting for a third party candidate on November 8th.  This doesn't make either one of us ""stupid.""  It simply indicates we see this issue very differently.  My opposition is based on ""political pragmatism"".. (con.)",0,1
"con. We will likely never agree on this one.  

 I do find it a bit amusing that you manage to criticize Ms Clinton because she did well in the debate. She was well informed, articulate, poised and very statespersonlike.  Yet, you twist that to be detrimental.  Had she, like Trump, been unprepared, nervous, rude, and ill-at-ease for the entire debate, you would have criticized that.  She did very well, so, instead, you are saying, in essence, ""Clinton did badly because she did so well. She had no business being so well prepared.  She had no business being so poised.""  

You have really made it clear ""she's damned if she does (do well) and damned if she doesn't.

BTW: I rather tire of being dismissed as just ""another Democratic Party sheep""; following the Party line.  Such comments trivialize my views and are, to me, insulting.  All my life I've developed and presented MY views and MY opinions....smart...dumb...good....bad? Whatever, but, I've always reached them for myself ..regards, G",0,1
"i should've been clearer.  the real ""tragedy"" in all of this isn't the fact that this dude knelt during the pledge; quite the contrary.  frankly, i could give a rat's ass about the pledge, the flag, and other associated symbols of ""patriotism and freedom.""  what perturbs me is his complete lack of creativity.  the man has a serious case of copycat-itis.  with having said that, i don't see flynn as some kind of patriot standing up for the oppressed, bringing attention to the injustices in our society.  instead, i see him as an unoriginal douchebag.",0,1
Glad we got rid of Lynn Gattis. She was as useless as a poopy flavored lollipop.,0,1
The Mat-Su headline that got me was the female witch that was granted permission to open the Assembly meeting with a prayer to her Devil.  That takes the cake.  The idiotic  flap over Flynn taking a knee is much to do about nothing compared to witchery being condoned in a public meeting.,0,1
"Ahahahahahasnortahahahahahaha! You made me laugh so hard, I peed a little! You just keeeeep stroking the fact that the fact that we should be joyous and thankful for the fact that us measly peeons got ANY of the PFD. Keep sucking walkers hind tit. We aren't stupid. We know that we won't be able to take any trips because HALF OF OUR PFD WAS STOLEN.",0,1
Flynn is bringing drama to a place where police brutality doesn't quite exist from my experience. Time for him to get out! Bringing drama to the spotlight!  Flynn Is garbage and respect has been lost. Similar to abusing the US flag..... National attention. Keep it out of here!,0,1
this goddamn dog is getting more coverage than the death of mother theresa.,0,1
"Dick, 
You in Virginia makes everything in Alaska just a little better. Your cynicism and obvious hatred for anything about UAA is tiresome and your attitudes displayed on these pages over the years have left more people scratching their heads in confusion than actually understanding what your poorly written drivel meant.

Do us all a favor and shut your fetid gob.",0,1
"LOS...you could be right...lies, steeling, sexual harassment, tax evasion, stealing from his foundation...nothing will sow regrets in the addled toadies. Really nothing...they have their guy, they like his attitude...very much a professional wrestler, don't they know it's bogus, really. He was outclassed and out maneuvered. He was ill-mannered and ill-prepared. He looked silly, peering into the lights. And 85 million got to see him in all his glory! Not little news sound bites designed to make him seem possible, but the full sniveling, snorting, bull crap artist he has always been, and will always be. So ask yourself, ""why do I like this?""",0,1
"This is going to bite us in the ass. If this wasn't an election year, I don't think the veto would have been defeated.  This is a huge can of worms putting Americans in jeopardy.",0,1
"Look at this, Trolls don't seem to be scared of climate change!",0,1
"Disagreeing I have no problem with, it is the comments about how someone is not a ""true"" or ""real"" Amercian and how people should be fired or how stupid they are to choose to kneel, if that helps clarify any.",0,1
Flynn is a disgrace!,0,1
"Start putting some of these kids' name in the blotter and the paper, and you'll start seeing some of this crap slow down.",0,1
It's Trump's kindergarten mentality. He's too ignorant to see the forest for the trees.,0,1
"Flynn was wrong to do that in the assembly meeting and I'm sure it was just to get him attention.  Because he's kind of a narcissist. 
He can believe whatever he wants to but keep it on his own time     He did it on the taxpayers dime.  

DUMB",0,1
The only effective way to stop a bad teenager with a gun is a classroom full of good elementary school children all with guns.,0,1
"Yeah, that's right Doughty, guns beget guns and murder begets murder.  Nice to teach kids it's okay to kill.",0,1
"This was an active shooter who already killed. I'm not sure this is someone we would ever want back out on the street. Only time will tell. Can't save them all. Personally, I think anyone who shoots 6 year olds should die. I'm not interested in giving killers on a shooting spree second chances. Killing his parent, ok, lots of reasons, he could have been abused, or acting in self-defense. We don't know at this point. But a shooting rampage at an elementary school? Never any kind of reason, it was cold blooded attempted murder. To make it worse, now these victims will have to go through a trial and relive this experience over and over for the next few years. I wish they killed the shooter.",0,1
"Mayor Caldwell has a lot of special peon hires at City Hall, courtesy of taxpayers. 

It's too obvious that Caldwell cannot attack the message so he he attacks the messenger. Dirty politics is Caldwell's forte.",0,1
The man has serious mental health issues.  There's no 'practicing' that out of him.,0,1
here wo go again some jerk did not listen to the cops. its pretty much kindergarten stuff....just follow simple orders.,0,1
"Ruben, merely aping Trump's silliness of baseless and simplistic retorts just screams how simplistic his deniers are after he stubbed all 10 toes in a disastrous display of ignorance and impetuousness.",0,1
"""Progressive"" is code for Communist as stated by Karl Marx:  ""From each according to his ability, to each according to his need."" This is what you advocate, no matter the rhetoric you use to try to confuse or sugar coat the idea. Progressivism is theft from the useful by the useless, nothing more.

The only acceptable option is a FAIR TAX, based on a flat percentage of income, same rate for all, no exemptions, no exceptions. NO WAY should success be penalized and sloth or incompetence rewarded. America is about equal opportunity, not equal outcome. If you chose no education and a crap paying job (like ""community organizer"" for example) you have no one but yourself to blame and your envy of and anger at others success is pathetic.

What an idiot. The last person we need to hear from after the last 8 years is another damn 'community organizer', because that approach has worked so well, right.",0,1
The key to Trump's failure is Trump. He's a mentally unstable egomaniac.,0,1
"I think a little more research in 'actual' history might surprise you. Rome (even while Christianity was the official religion of Rome), fell, because of a long line of incestuous idiots dictating orders that had no connection to ""mocking the lord."" Sheesh man, the word 'progress' has only been politically used for the last 500 years, and in the face of superstitious religious extremism who's only purpose is to dictate intolerance and pep talk the superstitiously gullible into spreading the most impacting lie on human history.",0,1
"http://addictinginfo.org/2015/04/13/heres-a-list-of-hillary-clintons-accomplishments-so-quit-saying-she-doesnt-have-any/

I know her haters, and I'm no fan, will whine endlessly about whatever they can come up with to demonize her, but she's now standing proud, high above her disgusting opponent who is nothing but a self aggrandizing grifter having no business in politics, and is sweeping away much of the public's negative appraisals of her with such a commanding discombobulation of the buffoonish orangutan of hate and ignorance. she's swaying votes towards her after just this first debate and it'll just get better for her as the meat clown plans to double down on his unprepared and nasty foolishness.

and let's not forget the historic partisan party politics BS and completely unacceptable obstruction by the sour grapes McConnellista loser bunch of any / everything to benefit this country in times of crisis merely to get back at Obama for beating them silly in the election / s.",0,1
"I know from firsthand experience (via family) that the administration at NEHS is sub-standard.  Every thing about the school, including the sports programs, is mired in PC mediocrity.  They have to put freshmen on varsity soccer for lack of players because the coach is such a loser.",0,1
"""Lefty fascists"" is an oxymoron, and would be laughable except for the hatred implicit in its expression.  Clinton, if a liar, is an ordinary one, like the husband, for instance, who tells his wife ""No dear, that dress doesn't make you look fat.""  I think you make your incorrect claim to deflect from what is the undeniable truth, that Donald Trump lies shamelessly and nonstop, to appeal to the intellectually and morally challenged among us.

Your biggest lie here is in saying that Clinton ""has broken numerous federal statutes"" and has committed a felony.  Both accusations are falsehoods, neither is true.

You are free to decorate your own home and mind with the calculated falsehoods of your right-wing propagandists, but if you try to hang that ugly wallpaper here, expect to be told to take it elsewhere, it is too ugly for public display.",0,1
I wouldn't be surprised if Don young got a pallet of cash like the Iranians got. He is a crook as long as the sun in an Alaska summer.  but really.. Who cares right? he brings in cash from the FED for crap all day long.. cash to pay for state projects. that pays.. wait.. forces us to budget for more projects.. wait.. allows other crooks to over bloat the budget... pushes us to pay for crap we really don't need.. wait... We actually think 1000 bucks will satisfy these fat cats. We're the fools.,0,1
"You think this thug is ""good people""? Wow, that's quite the value system you have.",0,1
"""I've got zero idea of what you want Dog?"" Obviously! It might? Might help give you a clue if you read my original post which were addressed to Crum.

""Elizabeth Warren scares both Republicans and Democrats."" I feel 100% confident that Elizabeth [I want to be an Indian} Warren scares no one but Democrats, and for good reason. The women is certifiably a crazy nut case and phony.",0,1
"Rueben, don't you mean ""no sé"" ?

You and The Donald went to the same debate prep class.

Dums culo class.",0,1
"of course that's hyperbole and I gave you my take, so if this is all you have in response then vote for your cretin and keep that grin on your face if / when the next President is a strong female for 8 Democratic years and we flip the high courts solidly Liberal to give this comatose country a chance of recovery and survival in spite of all the republican destruction and psychotic partisan obstruction.",0,1
"Maybe, Mr. Pitts, we could start with the media NOT jumping on the Trump bandwagon and giving this clown so much free publicity---If The Donald can lie to their faces and be praised for it, what do you think lib-splaining Trump is going to do for his base?

I'm going to lump you in with Cal Thomas here, and many others responsible for hijacking our news sources with the name Trump---But listen to you guys!  He's a Strongman!  He's Jesus Christ!  He's the greatest existential threat to ever face the republic!  REALLY?

He's a media clown and an entertainer.  People like you have made him into a virtual demigod.   I know, Leonard, it sells copy---Your editors probably make you do it.

But you can't very well decry the Trump phenomenon while riding on its coat-tails",0,1
"Yeah, this letter is spot on.  The cops snuck up on the dude and opened fire without him offering a threat.  Disgusting.",0,1
Let's cut to what u just said Whitty u better learn how to step n fetch If u think u r going to fit in u r crazy They will take ur money give u crap n u r to take it Hawaiian people are slaves to the politions n unions Thay will never change So what they do is look for someone to put  below them Whitty that is u. If u want a quick lesson in how it feels to be black live in Hiwaii Whatbdo u think Haoles means N----- n don't forgot,0,1
"Or ... if you want to vote for a completely unprepared (and unpreparing), racist, misogynist, compulsive liar with a hair-trigger-out-of-control temperament ... then vote for Drumpf.",0,1
"Or ...  if you want to vote for Barabbas Vote Hillary. Hillary's dark deplorable resume objectively reveals she is far more superior to Trump at being racist, misogynist and a sociopathic liar and that is just for starters.",0,1
"Do you always act like a jackass when someone asks a simple question? Perhaps you should learn to ""deal with"" your attitude.",0,1
"Interesting theory...kind of makes sense why the ""powers that be"" would tell us not to eat the right things. It's much easier to control a fat and stupid population...add in a little fluoridated water and bingo!",0,1
"The only reason it is the news of the day is because of pundits like you, Charles. YOU are the ones keeping this in the spotlight. You can't fool Americans who are going to elect Trump our new President any more. YOU are the ones tripping over yourselves, manufacturing the latest (GASP) fake outrage over something mean old Trump said. Meanwhile, Hillary is just smirking her smirk because she and her minions changed the subject. you are disgusting",0,1
"Wonderful skewering of the aspiring ""Fat-Shamer in Chief"" by Tiothy Egan in today's NY Times:

""So, in the spirit of the discourse that Trump has brought us to, let’s objectify the Republican nominee on his terms. This guy is fat. Bigly. He’s got an extra chin, a gut you wouldn’t want to see riding above a bathing suit, and a rear that serves no purpose but ballast.

At 6-foot-2, the height that he has long given profile writers, ... [b]y government guidelines, Trump is obese. In a weasel move to avoid that classification, Trump now says he is 6-foot-3, which makes him merely overweight. How he grew an inch, at the age of 70, is a story that has escaped his hagiographers at Fox.

Trump’s ducktail hairdo, colored in a hue unknown to nature, is a complicated comb-over inspired by Dr. Seuss.

Trump’s hands are smaller than 85 percent of American men. No surprise he lies about that.

'Fat, drunk and stupid is no way to go through life' (from Animal House) .. Trump .. has two of the three.""",0,1
Exactly.  I wonder if paid subscribers to the New York Times and Washington Post (read: suckers) know they can get their respective subscriptions for absolutely free on Alaska Dispatch.,0,1
"It is complete nonsense that Trump has turned the presidential debates into a moronic session of individual insults, innuendos and generally childish rants.  No doubt there is a segment of the population who thrives on this Trump foolishness.  I do believe there are more adults who are realizing Trump's ill-prepared speeches are with out facts that can be documented.  I've heard more fact based campaigns from Jr Hi students running for hall monitor. 

Yesterday, two media publications set new policies after man many years of not endorsing any presidential candidate. Both now refute Trump.  While many will claim that these two are liberal publications. Neither one is.  The adults are facing reality and found a 70 year old male child is not presidential material.",0,1
"It's fine that you're proud of being a bigot, a racist and a xenophobe, but no serious adult wants that in the Presidency representing our country.  There are simply not enough Klan member types to get trump elected.  In 6 weeks, he'll be ancient history - a bad memory, just like Palin...",0,1
"Considering you spew nothing but hatred and vitriol, you may want to look inside, before judging others...",0,1
"No doubt! When I think of a Commander and Chief I like to think of a person with prominence and dignity, not some uncontrolled, undisciplined, ranting looney toon. What a disaster!",0,1
This is junk,0,1
"I do not know one intelligent, thinking, reasonable person who believes Donald Trump would be acceptable as President of The United States of America.

I do know some real racist, bible-thumpin', flag-wavin', gun-toten' fools who support that 300 pound clown.

Which are you?",0,1
"tRump's not a ""man.""  He's nothing but a headline porn, narcissist.",0,1
What an unbelievably useless comment for a unbelievable topic for the newspaper to write about...,0,1
"Reeky - You are clever.
Insults in the form of mockery or a joke is your form of discussion.  
""You and The Donald went to the same debate prep class"" is subtle trash talk
So is ""Dums culo class""  - 

If you do not have anything to do here, don't do it. It's amazing how a clown is allowed to troll here.",0,1
"Aloha Rubie Doobie 

I have much to do here, demonstrating the shallowness of The Trump and his montón de guaricandillas.

Now sit down Rubie, ""Dums culo class is in session.",0,1
"I've found that the best way to shut up a fool is to give him the last word.  And even that is by no means certain, but I won't have to be around to listen to him.  So, here you go.",0,1
"What matters is if the sexual contact was consensual even though underage people cannot legally give consent. Your comment, Michael3, is worthless and vulgar. A person like you has no business making comments about sensitive topics such as sexuality, childhood and consent. You lack the intellect and emotional development and you are, in fact, a lowlife scumbag. The advice of a cretin is always superfluous.",0,1
"Miss Machado can lose weight.  Being a whiney, sore loser is a personality trait.",0,1
